product_code,description,batch_code
PRO-18RW,KLIPSCH PRO REFERENCE 8 IN WALL SPEAKER,
PRO-18RW,KLIPSCH PRO REFERENCE 8 IN WALL SPEAKER,00521240511
PRO250RPWLCR,KLIPSCH INWALL REF PREM SINGLE,
PRO250RPWLCR,KLIPSCH INWALL REF PREM SINGLE,52125162
R101SW,KLIPSCH 10 300W SUBWOOFER,
R101SW,KLIPSCH 10 300W SUBWOOFER,0052124047
R121SW,KLIPSCH 12 400W SUBWOOFER,
R121SW,KLIPSCH 12 400W SUBWOOFER,00521242111
,KLIPSCH 12 400W SUBWOOFER,9925010
R40SA,KLIPSCH DOLBY ATMOS/SURROUND SPEAKER,
R40SA,KLIPSCH DOLBY ATMOS/SURROUND SPEAKER,0052125044
,KLIPSCH DOLBY ATMOS/SURROUND SPEAKER,5212507622
R50PM,KLIPSCH R50PM POWERED SPEAKER,
R50PM,KLIPSCH R50PM POWERED SPEAKER,00521243091
,KLIPSCH R50PM POWERED SPEAKER,5212430911
R600PACK51,KLIPSCH R600 5.1 PACK. ATMOS READY,
R600PACK51,KLIPSCH R600 5.1 PACK. ATMOS READY,0057124004150
R800PACK51,KLIPSCH R800 5.1 PACK. ATMOS READY,
R800PACK51,KLIPSCH R800 5.1 PACK. ATMOS READY,005212407912
,KLIPSCH R800 5.1 PACK. ATMOS READY,151222801
RP1200SW,"KLIPSCH 12"" REFERENCE SUB",
RP1200SW,"KLIPSCH 12"" REFERENCE SUB",5212508529
,"KLIPSCH 12"" REFERENCE SUB",5212508530
THEFIVESB,KLIPSCH THE FIVES BOOKSHELF SPKERS BLK,
THEFIVESB,KLIPSCH THE FIVES BOOKSHELF SPKERS BLK,0057124004152
,KLIPSCH THE FIVES BOOKSHELF SPKERS BLK,9924324
THEFIVESW,KLIPSCH THE FIVES BOOKSHELF SPKERS WLNT,
THEFIVESW,KLIPSCH THE FIVES BOOKSHELF SPKERS WLNT,0057124004151
,KLIPSCH THE FIVES BOOKSHELF SPKERS WLNT,147222772
TXNR5100,ONKYO THX 7.2 CH 8K DUAL HDMI OUT AVR,
TXNR5100,ONKYO THX 7.2 CH 8K DUAL HDMI OUT AVR,0057124004162
TXNR6100,ONKYO THX 7.2 CH 8K DUAL HDMI OUT AVR,
TXNR6100,ONKYO THX 7.2 CH 8K DUAL HDMI OUT AVR,0057124004161
,ONKYO THX 7.2 CH 8K DUAL HDMI OUT AVR,151230481
TXNR7100,ONKYO 9.2 CH AMP THXATMOS 3 ZONE,
TXNR7100,ONKYO 9.2 CH AMP THXATMOS 3 ZONE,0015125140
TXSR393,ONKYO 5.2 CH 4K ATMOS / DTS AV RECEIVER,
TXSR393,ONKYO 5.2 CH 4K ATMOS / DTS AV RECEIVER,151221191
TXSR494,ONKYO 7.2 CH 4K ATMOS / DTS AV RECEIVER,
TXSR494,ONKYO 7.2 CH 4K ATMOS / DTS AV RECEIVER,0057124004160
,ONKYO 7.2 CH 4K ATMOS / DTS AV RECEIVER,15122119
,ONKYO 7.2 CH 4K ATMOS / DTS AV RECEIVER,15125160
BILDI55,LOEWE BILD I.55 4K UHD OLED SMART TV,
BILDI55,LOEWE BILD I.55 4K UHD OLED SMART TV,9924307
BILDI77,LOEWE BILD I.77 4K UHD OLED SMART TV,
BILDI77,LOEWE BILD I.77 4K UHD OLED SMART TV,923251633
BILDIS65,LOEWE BILD IS.65 4K UHD OLED SMART TV,
BILDIS65,LOEWE BILD IS.65 4K UHD OLED SMART TV,99243072
FLEX,LOEWE FLEX FLOOR STAND FOR 48 - 88 TVS,
FLEX,LOEWE FLEX FLOOR STAND FOR 48 - 88 TVS,923251632
L-85BK,LENCO SEMI-AUTOMATIC RECORD PLAYER BLACK,
L-85BK,LENCO SEMI-AUTOMATIC RECORD PLAYER BLACK,005212429110
,LENCO SEMI-AUTOMATIC RECORD PLAYER BLACK,52124291121
LS-310WD,LENCO TURNTABLE-BLUETOOTH-2 SPKRS-WOOD,
LS-310WD,LENCO TURNTABLE-BLUETOOTH-2 SPKRS-WOOD,005212422811
,LENCO TURNTABLE-BLUETOOTH-2 SPKRS-WOOD,52124278126
LS-430BK,LENCO TURNTABLE BLUETOOTH SPEAKERS BLK,
LS-430BK,LENCO TURNTABLE BLUETOOTH SPEAKERS BLK,005212427812
,LENCO TURNTABLE BLUETOOTH SPEAKERS BLK,52124278125
